condition,seed,split_seed,init_seed,lambda_single,sampling,n_cells,top_k,pearson,wpearson,mse,deg_pearson,deg_wpearson,pearson_delta,wpearson_delta,deg_pearson_delta,deg_wpearson_delta,mse_delta,r2,wr2,r2_deg,wr2_deg,wmse,direction_acc,wdirection_acc,deg_direction_acc,deg_wdirection_acc,deg_recall,deg_recall_std
FOSB+IKZF3,0,0,0,1.0,cell,204,20,0.992480993270874,0.992480993270874,0.0026083376724272966,0.9822793316364948,0.9822793316364948,0.9597002863883972,0.9597002863883972,0.9836327418580058,0.9836327418580058,0.002608337439596653,0.9849042892456055,0.9849042892456055,0.9460970714280106,0.9460970714280106,0.051875773817300797,0.6226071102951449,0.6226071102951449,1.0,1.0,0.65,0.0
CEBPE+PTPN12,0,0,0,1.0,cell,317,20,0.9964555501937866,0.9964555501937866,0.0011242054169997573,0.9871076337637701,0.9871076337637701,0.9107433557510376,0.9107433557510376,0.9673359773870034,0.9673359773870034,0.0011242054169997573,0.9928689002990723,0.9928689002990723,0.9741913918130483,0.9741913918130483,0.010520746000111103,0.6533212010859571,0.6533212010859571,1.0,1.0,0.75,0.0
TBX2+TBX3,0,0,0,1.0,cell,969,20,0.9965248703956604,0.9965248703956604,0.0011178937274962664,0.9941604737739818,0.9941604737739818,0.9720230102539062,0.9720230102539062,0.9927515845430246,0.9927515845430246,0.0011178936110809445,0.993030309677124,0.993030309677124,0.9843375996365099,0.9843375996365099,0.013806432485580444,0.6299911268799469,0.6299911268799469,1.0,1.0,0.85,0.0
KLF1+TGFBR2,0,0,0,1.0,cell,263,20,0.9984099864959717,0.9984099864959717,0.000711831555236131,0.9962932672095688,0.9962932672095689,0.9674747586250305,0.9674747586250305,0.9898352088904792,0.9898352088904792,0.000711831555236131,0.9961627721786499,0.9961627721786499,0.9831112991565192,0.9831112991565192,0.010885883122682571,0.592928377147843,0.592928377147843,1.0,1.0,0.8,0.0
CEBPB+JUN,0,0,0,1.0,cell,52,20,0.985419511795044,0.985419511795044,0.004398935474455357,0.9594029106399915,0.9594029106399915,0.9085956811904907,0.9085956811904907,0.9702526613271116,0.9702526613271117,0.004398935474455357,0.9706225395202637,0.9706225395202637,0.9096033216621755,0.9096033216621755,0.05878906697034836,0.6347905282273699,0.6347905282273699,1.0,1.0,0.65,0.0
DUSP9+PRTG,0,0,0,1.0,cell,238,20,0.995064377784729,0.995064377784729,0.0017065866850316525,0.9946246548469654,0.9946246548469654,0.977472186088562,0.977472186088562,0.9927124722234659,0.9927124722234659,0.0017065868014469743,0.9895898699760437,0.9895898699760437,0.9559999843722621,0.9559999843722621,0.03317790478467941,0.6663636363575786,0.6663636363575786,1.0,1.0,0.7,0.0
DUSP9+ETS2,0,0,0,1.0,cell,698,20,0.9961122274398804,0.9961122274398804,0.0013024468207731843,0.9851949910749516,0.9851949910749516,0.9158236384391785,0.9158236384391785,0.9687629306756228,0.9687629306756227,0.0013024468207731843,0.9920462965965271,0.9920462965965271,0.9482995228985068,0.9482995228985069,0.025502333417534828,0.6223021582677851,0.6223021582677851,1.0,1.0,0.7,0.0
CEBPE+CNN1,0,0,0,1.0,cell,194,20,0.9883688688278198,0.9883688688278198,0.0036258443724364042,0.9625342761902616,0.9625342761902617,0.8433224558830261,0.8433224558830261,0.9303871476998022,0.9303871476998022,0.0036258443724364042,0.9768340587615967,0.9768340587615967,0.916108354472365,0.916108354472365,0.04113803803920746,0.6204379561987187,0.6204379561987187,0.95,0.95,0.5,0.0
MAP2K3+MAP2K6,0,0,0,1.0,cell,458,20,0.9977437257766724,0.9977437257766724,0.0009777949890121818,0.9932535732990806,0.9932535732990806,0.9020209312438965,0.9020209312438965,0.9313719480096286,0.9313719480096286,0.0009777949890121818,0.9946457743644714,0.9946457743644714,0.9629116509982816,0.9629116509982816,0.010382626205682755,0.6108108108053081,0.6108108108053081,1.0,1.0,0.75,0.0
ETS2+MAPK1,0,0,0,1.0,cell,432,20,0.9912527203559875,0.9912527203559875,0.003101689275354147,0.9697628167719907,0.9697628167719907,0.9060508608818054,0.9060508608818054,0.9650644152602359,0.9650644152602359,0.003101689275354147,0.9813291430473328,0.9813291430473328,0.8799103362206053,0.8799103362206053,0.046589575707912445,0.6321942445986314,0.6321942445986314,1.0,1.0,0.8,0.0
CNN1+ETS2,0,0,0,1.0,cell,785,20,0.9950283169746399,0.9950283169746399,0.0015777724329382181,0.9536146817512161,0.9536146817512161,0.9074257612228394,0.9074257612228394,0.9491105725329108,0.9491105725329108,0.0015777724329382181,0.9900810122489929,0.9900810122489929,0.8762597809818093,0.8762597809818093,0.02678755670785904,0.6160794941227093,0.6160794941227093,1.0,1.0,0.7,0.0
IRF1+SET,0,0,0,1.0,cell,367,20,0.9844772815704346,0.9844772815704346,0.0051492443308234215,0.9668856882525093,0.9668856882525093,0.8476616740226746,0.8476616740226746,0.9268080956146694,0.9268080956146694,0.005149244796484709,0.9681503772735596,0.9681503772735596,0.9245703316615681,0.9245703316615681,0.05759299546480179,0.6333045729022149,0.6333045729022149,1.0,1.0,0.75,0.0
ELMSAN1+LHX1,0,0,0,1.0,cell,547,20,0.993180513381958,0.993180513381958,0.0023131933994591236,0.9203877981157783,0.9203877981157783,0.8126810789108276,0.8126810789108276,0.9161775106984372,0.9161775106984372,0.0023131933994591236,0.9859017133712769,0.9859017133712769,0.7689818861137168,0.7689818861137168,0.06571922451257706,0.5919999999947378,0.5919999999947378,0.95,0.95,0.6,0.0
FOSB+OSR2,0,0,0,1.0,cell,324,20,0.9922149777412415,0.9922149777412415,0.00274295243434608,0.8551249663922346,0.8551249663922346,0.911767303943634,0.911767303943634,0.9526247086001194,0.9526247086001194,0.00274295243434608,0.9842411279678345,0.9842411279678345,0.656866778843467,0.656866778843467,0.046700745820999146,0.6391111111054302,0.6391111111054302,1.0,1.0,0.85,0.0
PTPN12+ZBTB25,0,0,0,1.0,cell,257,20,0.9980188012123108,0.9980188012123108,0.0006571497651748359,0.996799165536808,0.996799165536808,0.977348804473877,0.977348804473877,0.9948137203950503,0.9948137203950503,0.0006571497651748359,0.995962381362915,0.995962381362915,0.9917523455519108,0.9917523455519108,0.005254401825368404,0.6539855072404531,0.6539855072404531,1.0,1.0,0.8,0.0
CDKN1B+CDKN1C,0,0,0,1.0,cell,79,20,0.9913806319236755,0.9913806319236755,0.002513167215511203,0.972756432207849,0.972756432207849,0.8871589303016663,0.8871589303016663,0.9619898364067169,0.9619898364067169,0.002513167215511203,0.9827041029930115,0.9827041029930115,0.9340954938896404,0.9340954938896404,0.02414589375257492,0.5917808219124039,0.5917808219124039,1.0,1.0,0.65,0.0
CEBPB+FOSB,0,0,0,1.0,cell,85,20,0.9694334864616394,0.9694334864616394,0.009778247214853764,0.7775665011025865,0.7775665011025865,0.9027573466300964,0.9027573466300964,0.950736924223017,0.950736924223017,0.009778247214853764,0.9387210011482239,0.9387210011482239,0.2678892781574561,0.2678892781574561,0.14153659343719482,0.6356164383503597,0.6356164383503597,1.0,1.0,0.7,0.0
ELMSAN1+MAP2K3,0,0,0,1.0,cell,484,20,0.9979000687599182,0.9979000687599182,0.0008061220869421959,0.991827189935368,0.991827189935368,0.9063818454742432,0.9063818454742432,0.9652587512407496,0.9652587512407496,0.0008061220869421959,0.9957828521728516,0.9957828521728516,0.972613345662464,0.972613345662464,0.008760619908571243,0.6053811659138532,0.6053811659138532,1.0,1.0,0.55,0.0
HOXC13+ZC3HAV1,0,0,0,1.0,cell,543,20,0.9947742223739624,0.9947742223739624,0.0015848090406507254,0.9950291009877775,0.9950291009877776,0.8610258102416992,0.8610258102416992,0.9631859892957775,0.9631859892957775,0.0015848090406507254,0.9895721673965454,0.9895721673965454,0.9894688573187106,0.9894688573187106,0.013286827132105827,0.6501352569824155,0.6501352569824155,1.0,1.0,0.6,0.0
BPGM+SAMD1,0,0,0,1.0,cell,240,20,0.9964864253997803,0.9964864253997803,0.0011435728520154953,0.9932657514980692,0.9932657514980693,0.9560356736183167,0.9560356736183167,0.9759375451187626,0.9759375451187626,0.0011435727356001735,0.9929596781730652,0.9929596781730652,0.9844884166201832,0.9844884166201832,0.012038582935929298,0.6313405797044264,0.6313405797044264,1.0,1.0,0.75,0.0
MAP2K6+SPI1,0,0,0,1.0,cell,242,20,0.9755507707595825,0.9755507707595825,0.007846060208976269,0.9483191615904767,0.9483191615904767,0.7919532656669617,0.7919532656669617,0.885172060109864,0.885172060109864,0.007846060208976269,0.9516540169715881,0.9516540169715881,0.8903922787794901,0.8903922787794901,0.08581789582967758,0.6440217391246014,0.6440217391246014,0.95,0.95,0.55,0.0
